Title1,Title2,Title3,Title4,Title5,RegulatorRuleFullRequirement
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.1 Application,Where?,"GEN 4.3 (Letter disclosure) applies in relation to activities carried on from an establishment maintained by the firm (or by its appointed representative) in the United Kingdom, subject to GEN 4.3.4 R (Exception: insurers). In relation to regulated claims management activities, GEN 4.3 applies with respect to activity carried on in Great Britain, even if the establishment from which it is carried on is not located in the UK (see PERG 2.4A)."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.1 Application,Where?,"GEN 4.3 (Letter disclosure) applies to a TP firm in relation to activities carried on from an establishment maintained by the TP firm (or by its appointed representative) in the United Kingdom, or carried on by the TP firm (or its appointed representative) into the United Kingdom from an establishment that is not in the United Kingdom, subject to GEN 4.3.4R (Exception: insurers)."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.1 Application,Where?,GEN 4.4 (Business for private customers from non-UK offices) applies in connection with a regulated activity carried on from an establishment of the firm (or its appointed representative) that is not in the United Kingdom.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.1 Application,Where?,"GEN 4.5 (Statements about authorisation and regulation by the appropriate regulator9) applies in relation to activities carried on from an establishment maintained by the firm (or by its appointed representative) in the United Kingdom, provided that, in the case of the MiFID business of an EEA MiFID investment firm or the activities of an EEA UCITS management company,4 it only applies to business conducted within the territory of the United Kingdom. In relation to regulated claims management activities, GEN 4.5 applies with respect to activity carried on in Great Britain, even if the establishment from which it is carried on is not located in the UK (see PERG 2.4A).6"
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.1 Application,Where?,GEN 4.5 (Statements about authorisation and regulation by the appropriate regulator9) applies in relation to activities carried on from an establishment maintained by the firm (or by its appointed representative) in the United Kingdom.7
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.1 Application,Where?,GEN 4.5 (Statements about authorisation and regulation by the appropriate regulator) applies in relation to activities carried on from an establishment maintained by the TP firm (or by its appointed representative) in the United Kingdom or carried on by the TP firm (or its appointed representative) into the United Kingdom from an establishment that is not in the United Kingdom.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.2 Purpose,,This chapter requires the provision of appropriate minimum information about the identity of the regulator that authorised a firm. It also governs the way in which a firm may describe its regulation by the appropriate regulator.8
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.2 Purpose,,"This chapter builds upon Principle 7 (Communications with clients), which requires a firm to pay due regard to the information needs of its clients. This assists in the achievement of the statutory objectives, including the FCA's strategic objective of ensuring that relevant markets function well and the consumer protection and integrity objectives."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.2 Purpose,,"There are other pre-contract information requirements outside this chapter, including:
for financial promotions, inthe financial promotion rules;
for designated investment business, inCOBS 8 and COBS 8A14 (Client agreements), COBS 5 (Distance Communications), COBS 6 (Information about the firm, its services and remuneration), COBS 13 and 14 (which relate to product information)5 and CASS (Client assets);
for PRIIPs, a requirement under the PRIIPs Regulation to provide retail investors (as defined in that Regulation) with a key information document;13
for non-investment insurance contracts3, distance communication requirements in ICOBS 3, initial disclosure requirements in ICOBS 4, disclosures relating to client needs and advice in ICOBS 5 and product information requirements in ICOBS 6;
for electronic commerce activities carried on from an establishment in the United Kingdom, in COBS 5.2, ICOBS 3.2 7and MCOB 2.8;6 1
for regulated mortgage contracts and home purchase plans, initial disclosure requirements 4in MCOB 44, pre-application disclosure requirements in MCOB 5,4 and disclosure at the offer stage in MCOB 64;4 12
for equity release transactions, initial disclosure requirements in MCOB 8.4, pre-application disclosure requirements in MCOB 9.4 and disclosure at the offer stage in MCOB 9.5;4
for regulated sale and rent back agreements, initial disclosure requirements in MCOB 4.11, pre-sale disclosure requirements in MCOB 5.9 and disclosure at the offer stage requirements in MCOB 6.9;15
for regulated credit agreements, the pre-contract information requirements in the Consumer Credit (Disclosure of Information) Regulations 2010 (SI 2010/1013) and in the Consumer Credit (Disclosure of Information) Regulations 2004 (SI 2004/1481); and15
for regulated claims management activities, the pre-contract information and other requirements in CMCOB 4.2 and CMCOB 4.3.15"
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Disclosure in letters to retail clients4,"A firm must take reasonable care to ensure that every letter (or electronic equivalent) which it or its employees send to a retail client, with a view to or in connection with the firm carrying on a regulated activity, includes the disclosure in GEN 4 Annex 1 R (firms that are not PRA-authorised persons) or GEN 4 Annex 1AR (PRA-authorised persons) as applicable14.1"
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Disclosure in letters to retail clients4,"Where a letter covers both activities to which this section6applies and activities to which this section6does not apply, the firm should comply with the rules in this chapter in relation to the business to which it applies."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Disclosure in letters to retail clients4,"A TP firm must take reasonable care to ensure that every letter (or electronic equivalent) which it or its employees send to a retail client, with a view to or in connection with the TP firm carrying on a regulated activity, includes the disclosure in, as the case may be: for a TP firm under Part 3 of the EU Exit Passport Regulations, GEN 4 Annex 1B 1.1R or 1.2R (firms that are not PRA-authorised persons) or, GEN 4 Annex 1B 2.1R or 2.2R (PRA-authorised persons); or for a TP firm under Part 6 of the EU Exit Passport Regulations, GEN 4 Annex 1C 1.1R or 1.2R (firms that are not PRA-authorised persons) or GEN 4 Annex 1C 2.1R or 2.2R (PRA-authorised persons)."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Disclosure in letters to retail clients4,An example for GEN 4.3.1A G would be where a letter covers business for which the FCA is the competent authority under the IDD10 and under MiFID.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Disclosure in letters to retail clients4,An example for GEN 4.3.1A G would be where a letter covers business for which the FCA is the competent authority under the the UK provisions which implemented11 IDD10 and under the UK provisions which implemented11 MiFID.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Disclosure in letters to retail clients4,"For a UK domestic firm that is not a PRA-authorised person, the required disclosure in GEN 4 Annex 1 R is ""Authorised and regulated by the Financial Conduct Authority""."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Disclosure in letters to retail clients4,"For a UK domestic firm that is a PRA-authorised person, the required disclosure in GEN 4 Annex 1AR is ""Authorised by the Prudential Regulation Authority and regulated by the Financial Conduct Authority and the7 Prudential Regulation Authority""."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Disclosure in letters to retail clients4,"GEN 4.3.1 R (Disclosure in letters to retail clients) covers letters delivered by hand, sent by post and sent by fax and also electronic mail, but not text messages, account statements, business cards or compliment slips (used as such).
GEN 4.3.1 R (Disclosure in letters to retail clients4) applies in relation to letters sent by any of the firm's employees, which includes its appointed representatives and their employees.
Firms are likely to find it convenient to include the required disclosure in their letterhead."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: insurers,"GEN 4.3.1 R
(Disclosure in letters to retail clients) does not apply in relation to:
general insurance business if:
the State of the risk is an EEA State other than the United Kingdom; or
the State of the risk is outside the EEA and the client is not in the United Kingdom when the contract of insurance is entered into; or
long-term insurance business if:
the client is habitually resident in an EEA State other than the United Kingdom; or
the client is habitually resident outside the EEA and is not present in the United Kingdom when the contract of insurance is entered into."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: insurers,GEN 4.3.1 R (Disclosure in letters to retail clients) does not apply in relation to: general insurance business if the State of the risk is outside the United Kingdom and the client is not in the United Kingdom when the contract of insurance is entered into; or11 long-term insurance business if the client is habitually resident outside the United Kingdom and is not present in the United Kingdom when the contract of insurance is entered into.11
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: authorised professional firms,"For an authorised professional firm, GEN 4.3.1 R (Disclosure in letters to retail clients) does not apply with respect to its non-mainstream regulated activities."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: use of third party processors in home finance and insurance distribution activities2,"Where a firm has outsourced activities to a third party processor other than advising on life policies3, GEN 4.3.1 R does not apply to that third party processor when acting as such, so long as the outsourcing firm ensures that the third party processor and its employees comply with that rule as if it was the firm and they were employees of the firm.
Where an appointed representative has outsourced insurance distribution activities10  other than advising on life policies3  or home finance mediation activities2to a third party processor, GEN 4.3.1 R does not apply to that third party processor when acting as such, so long as the appointed representative's principal ensures that the third party processor and its employees comply with that rule as if it was the appointed representative and they were the employees of the appointed representative.
Where an appointed representative of a firm is carrying on:
insurance distribution activities10 other than advising on life policies3; or
home finance mediation activities;2
which have been outsourced to it by the firm, GEN 4.3.1 R does not apply to the firm when the appointed representative is carrying on the outsourced activities, so long as the firm ensures that the appointed representative and its employees comply with that rule as if it was the firm and they were employees of the firm."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: credit firms,"GEN 4.3.1 R
(Disclosure in letters to retail clients) does not apply to a credit firm (other than a firm with a limited permission) with respect to the activity of entering into a regulated credit agreement as lender to which the Consumer Credit Directive applies, to the extent it would be contrary to the United Kingdom's obligations under an EU instrument."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: credit firms,GEN 4.3.1 R (Disclosure in letters to retail clients) does not apply to a credit firm (other than a firm with a limited permission) with respect to the activity of entering into a regulated credit agreement as lender to which the Consumer Credit Directive would have applied if the activity had been carried on immediately before IP completion day1311.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: credit firms,"A credit firm which carries on the activity of entering into a regulated credit agreement as lender , in respect of an agreement 9to which articles 5 and 6 of the Consumer Credit Directive apply is under an obligation to disclose pre-contract information in the form and to the extent required by the Consumer Credit (Disclosure of Information) Regulations 2010 (SI 2010/1013)9. Firms which carry on credit broking may take on the same obligation. A credit firm must also ensure specified information is included in credit agreements to which the Consumer Credit Directive applies 9in the form and to the extent required by the Consumer Credit (Agreements) Regulations 2010 (SI 2010/1014)9."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: credit firms,"A credit firm which carries on the activity of entering into a regulated credit agreement as lender , in respect of an agreement 9to which GEN 4.3.1R (Disclosure in letters to retail clients) does not apply as a result of GEN 4.3.7R11 is under an obligation to disclose pre-contract information in the form and to the extent required by the Consumer Credit (Disclosure of Information) Regulations 2010 (SI 2010/1013)9. Firms which carry on credit broking may take on the same obligation. A credit firm must also ensure specified information is included in credit agreements to which GEN 4.3.1R (Disclosure in letters to retail clients) does not apply as a result of GEN 4.3.7R11 9in the form and to the extent required by the Consumer Credit (Agreements) Regulations 2010 (SI 2010/1014)9."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: credit firms,The effect of GEN 4.3.7 R is that a credit firm in relation to a regulated credit agreement covered by the Consumer Credit Directive does not need to comply with GEN 4.3.1 R in relation to those letters (or electronic equivalents) that accompany the information required under the Regulations referred to in GEN 4.3.8 G.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: credit firms,The effect of GEN 4.3.7 R is that a credit firm in relation to a regulated credit agreement which would have been11 covered by the Consumer Credit Directive if the activity had been carried on immediately before IP completion day1311 does not need to comply with GEN 4.3.1 R in relation to those letters (or electronic equivalents) that accompany the information required under the Regulations referred to in GEN 4.3.8 G.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: credit firms,"Regulated activities covered by a limited permission (see the ""relevant credit activities"" set out in paragraph 2G of Schedule 6 to the Act) do not fall within the scope of articles 5 and 6 of the Consumer Credit Directive, therefore GEN 4.3.7 R and the guidance related to it are not relevant to those activities."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.3 Letter disclosure,Exception: credit firms,"GEN 4.3.7R and the guidance related to it are not relevant to regulated activities11 covered by a limited permission (see the ""relevant credit activities"" set out in paragraph 2G of Schedule 6 to the Act)11."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.4 Business for retail clients from non-UK offices,,"If, in any communication:
made to:
2(in relation to a non-investment insurance contract) aconsumer4;
2(in relation to a home finance transaction) a customer; or
2(in all other cases) a retail client3; and
in connection with a regulated activity carried on from an establishment of the firm (or its appointed representative) that is not in the United Kingdom;
the firm indicates that it is an authorised person, it must also, where relevant, and with equal prominence, give the information in (2) in writing.
The information required is that in some or all respects the regulatory system applying will be different from that of the United Kingdom. The firm may also indicate the protections and complaints or compensation arrangements available under another relevant system of regulation.
A firm need not provide the information required by (1) if it has already provided it in writing to the customer 2to whom the communication is made."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.4 Business for retail clients from non-UK offices,Exception,This section does not apply in relation to regulated claims management activities (but firms carrying on such activities in Great Britain will be subject to GEN 4.3: see GEN 4.1.2R).
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.5 Statements about authorisation and regulation by the appropriate regulator,Application,"This section applies to a firm:
communicating with a customer; or
communicating or approving a financial promotion other than:
a financial promotion that would benefit from an exemption in the Financial Promotion Order if it were communicated by an unauthorised person;
a promotion of an unregulated collective investment scheme that would breach section 238(1) of the Act if made by an authorised person (firms may not communicate or approve such promotions)."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.5 Statements about authorisation and regulation by the appropriate regulator,Application,GEN 4.5.1 R (1) does not apply to a firm when communicating with an eligible counterparty.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.5 Statements about authorisation and regulation by the appropriate regulator,Application,"However, misleading statements by a firm when communicated with an eligible counterparty may involve a breach of Principle 7 (Communications with clients) or Part 7 (Offences relating to financial services) of the Financial Services Act 2012, as well as giving rise to private law actions for misrepresentation."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.5 Statements about authorisation and regulation by the appropriate regulator,The duty,A firm must not indicate or imply that it is authorised by the FCA in respect of business for which it is not so authorised.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.5 Statements about authorisation and regulation by the appropriate regulator,The duty,A firm must not indicate or imply that it is authorised by the PRA in respect of business for which it is not so authorised.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.5 Statements about authorisation and regulation by the appropriate regulator,The duty,A firm must not indicate or imply that it is regulated or otherwise supervised by the FCA in respect of business for which it is not regulated by the FCA3.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.5 Statements about authorisation and regulation by the appropriate regulator,The duty,A firm must not indicate or imply that it is regulated or otherwise supervised by the PRA in respect of business for which it is not regulated by the PRA.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.5 Statements about authorisation and regulation by the appropriate regulator,The duty,SUP 13A Annex 1 provides guidance on the application of the Handbook to an incoming EEA firm.
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4.5 Statements about authorisation and regulation by the appropriate regulator,The duty,"As well as potentially breaching the requirements in this section, misleading statements by a firm may involve a breach of Principle 7 (Communications with clients) or section Part 7 (Offences relating to financial services) of the Financial Services Act 2012, as well as giving rise to private law actions for misrepresentation."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1B Statutory status disclosure (TP firms),,TP firms under Part 3 of the EU Exit Passport Regulations that are not PRA-authorised persons
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1B Statutory status disclosure (TP firms),,"This rule applies to TP firms under Part 3 of the EU Exit Passport Regulations that are not PRA-authorised persons in relation to activities carried on by them or their appointed representatives from establishments in the United Kingdom: Type of firm Required disclosure (Note 2) (1) A TP firm under Part 3 of the EU Exit Passport Regulations without a top-up permission “Deemed authorised and regulated by the Financial Conduct Authority. Details of the Temporary Permissions Regime, which allows EEA-based firms to operate in the UK for a limited period while seeking full authorisation, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4) (2) A TP firm under Part 3 of the EU Exit Passport Regulations with a top-up permission “Authorised by the Financial Conduct Authority and with deemed variation of permission. Subject to regulation by the Financial Conduct Authority. Details of the Temporary Permissions Regime, which allows EEA-based firms to operate in the UK for a limited period while seeking full authorisation, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4)"
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1B Statutory status disclosure (TP firms),,"This rule applies to TP firms under Part 3 of the EU Exit Passport Regulations that are not PRA-authorised persons in relation to activities carried on by them or their appointed representative into the United Kingdom from an establishment that is not in the United Kingdom: Type of firm Required disclosure (Note 2) (1) A TP firm under Part 3 of the EU Exit Passport Regulations without a top-up permission “Deemed authorised and regulated by the Financial Conduct Authority. The nature and extent of consumer protections may differ from those for firms based in the UK. Details of the Temporary Permissions Regime, which allows EEA-based firms to operate in the UK for a limited period while seeking full authorisation, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4) (2) A TP firm under Part 3 of the EU Exit Passport Regulations with a top-up permission “Authorised by the Financial Conduct Authority and with deemed variation of permission. Subject to regulation by the Financial Conduct Authority. The nature and extent of consumer protections may differ from those for firms based in the UK. Details of the Temporary Permissions Regime, which allows EEA-based firms to operate in the UK for a limited period while seeking full authorisation, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4)"
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1B Statutory status disclosure (TP firms),,TP firms under Part 3 of the EU Exit Passport Regulations that are PRA-authorised persons
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1B Statutory status disclosure (TP firms),,"This rule applies to TP firms under Part 3 of the EU Exit Passport Regulations that are PRA-authorised persons in relation to activities carried on by them or their appointed representatives from establishments in the United Kingdom: Type of firm Required disclosure (Note 2) (1) A TP firm under Part 3 of the EU Exit Passport Regulations without a top-up permission “Authorised and regulated by [name of the overseas regulator of the overseas firm in the jurisdiction of that overseas firm’s registered office (or, if it has no registered office, its head office)]. Deemed authorised by the Prudential Regulation Authority. Subject to regulation by the Financial Conduct Authority and limited regulation by the Prudential Regulation Authority. Details of the Temporary Permissions Regime, which allows EEA-based firms to operate in the UK for a limited period while seeking full authorisation, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4) (2) A TP firm under Part 3 of the EU Exit Passport Regulations with a top-up permission “Authorised and regulated by [name of the overseas regulator of the overseas firm in the jurisdiction of that overseas firm’s registered office (or, if it has no registered office, its head office)]. Authorised by the Prudential Regulation Authority and with deemed variation of permission. Subject to regulation by the Financial Conduct Authority and limited regulation by the Prudential Regulation Authority. Details of the Temporary Permissions Regime, which allows EEA-based firms to operate in the UK for a limited period while seeking full authorisation, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4)"
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1B Statutory status disclosure (TP firms),,"This rule applies to TP firms under Part 3 of the EU Exit Passport Regulations that are PRA-authorised persons in relation to activities carried on by them or their appointed representative into the United Kingdom from an establishment that is not in the United Kingdom: Type of firm Required disclosure (Note 2) (1) A TP firm under Part 3 of the EU Exit Passport Regulations without a top-up permission “Authorised and regulated by [name of the overseas regulator of the overseas firm in the jurisdiction of that overseas firm’s registered office (or, if it has no registered office, its head office)]. Deemed authorised by the Prudential Regulation Authority. Subject to regulation by the Financial Conduct Authority and limited regulation by the Prudential Regulation Authority. The nature and extent of consumer protections may differ from those for firms based in the UK. Details of the Temporary Permissions Regime, which allows EEA-based firms to operate in the UK for a limited period while seeking full authorisation, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4) (2) A TP firm under Part 3 of the EU Exit Passport Regulations with a top-up permission “Authorised and regulated by [name of the overseas regulator of the overseas firm in the jurisdiction of that overseas firm’s registered office (or, if it has no registered office, its head office)]. Authorised by the Prudential Regulation Authority and with deemed variation of permission. Subject to regulation by the Financial Conduct Authority and limited regulation by the Prudential Regulation Authority. The nature and extent of consumer protections may differ from those for firms based in the UK. Details of the Temporary Permissions Regime, which allows EEA-based firms to operate in the UK for a limited period while seeking full authorisation, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4) Note 1 = A firm must use the formulation ""Financial Conduct Authority"" or ""Prudential Regulation Authority"" and not the abbreviated formulation ""FCA"" or ""PRA"" respectively. Note 2 = Any firm listed in this table is permitted to add words to the relevant required disclosure statement but only if the firm has taken reasonable steps to satisfy itself that the presentation of its statutory status will, as a consequence, be fair, clear and not misleading and be likely to be understood by the average member of the group to whom it is directed or by whom it is likely to be received. Note 3 = A “top-up permission” is a Part 4A permission granted to a firm which exercised passporting rights, but which activity was outside of the scope of its passport, i.e. where the regulated activity in question is not an activity which could be passported. Note 4 = A firm is free to translate the name of its Home State regulator into English if it wishes. In doing so, it must ensure that the State in which the regulator is based is clear."
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1C Statutory status disclosure (TP firms under Part 6 of the EU Exit Passport Regulations),,TP firms under Part 6 of the EU Exit Passport Regulations that are not PRA-authorised persons
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1C Statutory status disclosure (TP firms under Part 6 of the EU Exit Passport Regulations),,"This rule applies to TP firms under Part 6 of the EU Exit Passport Regulations that are not PRA-authorised persons in relation to activities carried on by them or their appointed representatives from establishments in the United Kingdom: Type of firm Required disclosure (Note 2) (1) A TP firm under Part 6 of the EU Exit Passport Regulations without a top-up permission “Deemed authorised and regulated by the Financial Conduct Authority. Details of the Financial Services Contracts Regime, which allows EEA-based firms to operate in the UK for a limited period to carry on activities which are necessary for the performance of pre-existing contracts, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4) (2) A TP firm under Part 6 of the EU Exit Passport Regulations with a top-up permission “Authorised by the Financial Conduct Authority and with deemed variation of permission. Subject to regulation by the Financial Conduct Authority. Details of the Financial Services Contracts Regime, which allows EEA-based firms to operate in the UK for a limited period to carry on activities which are necessary for the performance of pre-existing contracts, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4)"
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1C Statutory status disclosure (TP firms under Part 6 of the EU Exit Passport Regulations),,"This rule applies to TP firms under Part 6 of the EU Exit Passport Regulations that are not PRA-authorised persons in relation to activities carried on by them or their appointed representatives into the United Kingdom from an establishment that is not in the United Kingdom: Type of firm Required disclosure (Note 2) (1) A TP firm under Part 6 of the EU Exit Passport Regulations without a top-up permission “Deemed authorised and regulated by the Financial Conduct Authority. The nature and extent of consumer protections may differ from those for firms based in the UK. Details of the Financial Services Contracts Regime, which allows EEA-based firms to operate in the UK for a limited period to carry on activities which are necessary for the performance of pre-existing contracts, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4) (2) A TP firm under Part 6 of the EU Exit Passport Regulations with a top-up permission “Authorised by the Financial Conduct Authority and with deemed variation of permission. Subject to regulation by the Financial Conduct Authority. The nature and extent of consumer protections may differ from those for firms based in the UK. Details of the Financial Services Contracts Regime, which allows EEA-based firms to operate in the UK for a limited period to carry on activities which are necessary for the performance of pre-existing contracts, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4)"
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1C Statutory status disclosure (TP firms under Part 6 of the EU Exit Passport Regulations),,TP firms that are PRA-authorised persons
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1C Statutory status disclosure (TP firms under Part 6 of the EU Exit Passport Regulations),,"This rule applies to TP firms under Part 6 of the EU Exit Passport Regulations that are not PRA-authorised persons in relation to activities carried on by them or their appointed representatives from establishments in the United Kingdom: Type of firm Required disclosure (Note 2) (1) A TP firm under Part 6 of the EU Exit Passport Regulations without a top-up permission “Authorised and regulated by [name of the overseas regulator of the overseas firm in the jurisdiction of that overseas firm’s registered office (or, if it has no registered office, its head office)]. Deemed authorised by the Prudential Regulation Authority. Subject to regulation by the Financial Conduct Authority and limited regulation by the Prudential Regulation Authority. Details of the Financial Services Contracts Regime, which allows EEA-based firms to operate in the UK for a limited period to carry on activities which are necessary for the performance of pre-existing contracts, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4) (2) A TP firm under Part 6 of the EU Exit Passport Regulations with a top-up permission “Authorised and regulated by [name of the overseas regulator of the overseas firm in the jurisdiction of that overseas firm’s registered office (or, if it has no registered office, its head office)]. Authorised by the Prudential Regulation Authority and with deemed variation of permission. Subject to regulation by the Financial Conduct Authority and limited regulation by the Prudential Regulation Authority. Details of the Financial Services Contracts Regime, which allows EEA-based firms to operate in the UK for a limited period to carry on activities which are necessary for the performance of pre-existing contracts, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4)"
High Level Standards,GEN General Provisions,GEN 4 Statutory status disclosure,GEN 4 Annex 1C Statutory status disclosure (TP firms under Part 6 of the EU Exit Passport Regulations),,"This rule applies to TP firms under Part 6 of the EU Exit Passport Regulations that are not PRA-authorised persons in relation to activities carried on by them or their appointed representatives into the United Kingdom from an establishment that is not in the United Kingdom: Type of firm Required disclosure (Note 2) (1) A TP firm under Part 6 of the EU Exit Passport Regulations without a top-up permission “Authorised and regulated by [name of the overseas regulator of the overseas firm in the jurisdiction of that overseas firm’s registered office (or, if it has no registered office, its head office)]. Deemed authorised by the Prudential Regulation Authority. Subject to regulation by the Financial Conduct Authority and limited regulation by the Prudential Regulation Authority. The nature and extent of consumer protections may differ from those for firms based in the UK. Details of the Financial Services Contracts Regime, which allows EEA-based firms to operate in the UK for a limited period to carry on activities which are necessary for the performance of pre-existing contracts, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4) (2) A TP firm under Part 6 of the EU Exit Passport Regulations with a top-up permission “Authorised and regulated by [name of the overseas regulator of the overseas firm in the jurisdiction of that overseas firm’s registered office (or, if it has no registered office, its head office)]. Deemed authorised by the Prudential Regulation Authority. Subject to regulation by the Financial Conduct Authority and limited regulation by the Prudential Regulation Authority. The nature and extent of consumer protections may differ from those for firms based in the UK. Details of the Financial Services Contracts Regime, which allows EEA-based firms to operate in the UK for a limited period to carry on activities which are necessary for the performance of pre-existing contracts, are available on the Financial Conduct Authority’s website.” (Notes 1, 3 and 4) Note 1 = A firm must use the formulation ""Financial Conduct Authority"" or ""Prudential Regulation Authority"" and not the abbreviated formulation ""FCA"" or ""PRA"" respectively. Note 2 = Any firm llisted in this table is permitted to add words to the relevant required disclosure statement but only if the firm has taken reasonable steps to satisfy itself that the presentation of its statutory status will, as a consequence, be fair, clear and not misleading and be likely to be understood by the average member of the group to whom it is directed or by whom it is likely to be received. Note 3 = A “top-up permission” is a Part 4A permission granted to a firm which exercised passporting rights, but which activity was outside of the scope of its passport, i.e. where the regulated activity in question is not an activity which could be passported. Note 4 = A firm is free to translate the name of its Home State regulator into English if it wishes. In doing so, it must ensure that the State in which the regulator is based is clear."
